,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1694,2024-08-21,7.710360125487275,5.039782116154602,10.002131501671505,5.552030713632558,9.970788148456078,-0.267971300250603,-0.267971300250603,-0.267971300250603,0.0635552752426866,0.0635552752426866,0.0635552752426866,-0.3315265754932896,-0.3315265754932896,-0.3315265754932896,0.0,0.0,0.0,7.442388825236672
1695,2024-08-22,7.704445948641916,5.005535979084476,10.01523273325312,5.531249839085565,9.984008399431897,-0.2653255524618249,-0.2653255524618249,-0.2653255524618249,0.016111392994235734,0.016111392994235734,0.016111392994235734,-0.28143694545606057,-0.28143694545606057,-0.28143694545606057,0.0,0.0,0.0,7.439120396180091
1696,2024-08-23,7.6985317717965565,5.076131044652373,10.037417199496144,5.510468964538571,9.994916876922883,-0.25864388442558045,-0.25864388442558045,-0.25864388442558045,-0.0290777583087138,-0.0290777583087138,-0.0290777583087138,-0.22956612611686666,-0.22956612611686666,-0.22956612611686666,0.0,0.0,0.0,7.439887887370976
1697,2024-08-24,7.692617594951199,4.744035089003569,10.011704395600303,5.490199730277462,10.00230847631357,-0.28208342971818895,-0.28208342971818895,-0.28208342971818895,-0.10563033901101215,-0.10563033901101215,-0.10563033901101215,-0.17645309070717682,-0.17645309070717682,-0.17645309070717682,0.0,0.0,0.0,7.41053416523301
1698,2024-08-25,7.68670341810584,4.817413502173352,9.836650589485398,5.476950486346649,10.00990085941572,-0.2350431378753514,-0.2350431378753514,-0.2350431378753514,-0.1123639159446004,-0.1123639159446004,-0.1123639159446004,-0.12267922193075098,-0.12267922193075098,-0.12267922193075098,0.0,0.0,0.0,7.451660280230489
1699,2024-08-26,7.68078924126048,5.299278863724053,10.264435850512433,5.46388227168674,10.017983634531635,0.028107609424424328,0.028107609424424328,0.028107609424424328,0.09696487492098933,0.09696487492098933,0.09696487492098933,-0.06885726549656501,-0.06885726549656501,-0.06885726549656501,0.0,0.0,0.0,7.708896850684904
1700,2024-08-27,7.674875064415121,5.131979462485998,10.429120680179345,5.4508140570268315,10.02606640964755,0.054821583773878135,0.054821583773878135,0.054821583773878135,0.07044047010652137,0.07044047010652137,0.07044047010652137,-0.015618886332643241,-0.015618886332643241,-0.015618886332643241,0.0,0.0,0.0,7.729696648189
1701,2024-08-28,7.668960887569763,5.258168750378584,10.328374756757679,5.436449398778094,10.036501794433132,0.09995411407240876,0.09995411407240876,0.09995411407240876,0.06355527524278552,0.06355527524278552,0.06355527524278552,0.03639883882962323,0.03639883882962323,0.03639883882962323,0.0,0.0,0.0,7.7689150016421715
1702,2024-08-29,7.663046710724404,5.236537421078317,10.450160959251836,5.412896132110733,10.043655086077871,0.10267901310763183,0.10267901310763183,0.10267901310763183,0.016111392994279505,0.016111392994279505,0.016111392994279505,0.08656762011335231,0.08656762011335231,0.08656762011335231,0.0,0.0,0.0,7.765725723832036
1703,2024-08-30,7.657132533879044,5.186352884559663,10.38966534928606,5.389342865443371,10.050314734995297,0.10520468595435305,0.10520468595435305,0.10520468595435305,-0.02907775830883811,-0.02907775830883811,-0.02907775830883811,0.13428244426319114,0.13428244426319114,0.13428244426319114,0.0,0.0,0.0,7.762337219833397
1704,2024-08-31,7.651218357033685,5.1277864798233335,10.394011584996807,5.3657895987760105,10.057119857434525,0.07334560052801982,0.07334560052801982,0.07334560052801982,-0.10563033901120367,-0.10563033901120367,-0.10563033901120367,0.1789759395392235,0.1789759395392235,0.1789759395392235,0.0,0.0,0.0,7.724563957561705
1705,2024-09-01,7.645304180188329,5.2163895069335515,10.318637712951451,5.342236332108651,10.050483971438423,0.10776828037465548,0.10776828037465548,0.10776828037465548,-0.11236391594453075,-0.11236391594453075,-0.11236391594453075,0.22013219631918624,0.22013219631918624,0.22013219631918624,0.0,0.0,0.0,7.753072460562984
1706,2024-09-02,7.639390003342967,5.531863003432312,10.686879814032636,5.318683065441288,10.05711491547997,0.3542645080734806,0.3542645080734806,0.3542645080734806,0.0969648749210631,0.0969648749210631,0.0969648749210631,0.25729963315241755,0.25729963315241755,0.25729963315241755,0.0,0.0,0.0,7.993654511416448
