ferramenta,taxa_abertura,flag_cobranca,flag_emoji,flag_exclamacao,flag_dinheiro,flag_fatura,flag_limite,flag_cashback,flag_nome,n_palavras,sentiment,sentimento,adjective,adposition,adverb,auxiliary,coordinating conjunction,determiner,interjection,noun,numeral,other,pronoun,proper noun,punctuation,space,subordinating conjunction,symbol,verb,cluster_hero,cluster_dbscan,cluster_dbscan_tsne,ano,dia,mes,dia_semana,hora
Infobip,0.21381496884779472,0,0,0,0,0,0,0,0,7,0.2023,neutro,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0,0,12,2023,21,3,Tuesday,12
Infobip,0.2068952245283478,0,0,0,0,0,0,0,0,1,0.0,neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,4,2023,26,4,Wednesday,17
Salesforce,0.33868947453329956,0,0,0,0,0,0,0,0,6,0.0,neutro,3.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,14,2022,22,12,Thursday,13
Salesforce,0.15900176525980808,0,0,0,0,0,0,0,0,5,0.0,neutro,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,8.0,0,0,13,2023,8,5,Monday,19
Infobip,0.34145434257020646,0,1,0,0,0,1,0,0,5,0.0,neutro,42.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,42.0,14,0,7,2023,6,4,Thursday,18
Infobip,0.08909354977060942,1,0,0,0,0,0,0,0,4,0.0,neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0,0,2,2023,4,4,Tuesday,19
Salesforce,0.17877591237821325,0,0,0,0,0,0,0,0,4,0.0,neutro,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0,0,15,2023,10,4,Monday,19
Infobip,0.20656487811689392,1,0,1,0,0,0,0,0,4,0.0,neutro,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,5,2023,1,6,Thursday,11
Infobip,0.20463905309184335,0,0,0,0,0,0,0,0,7,0.0,neutro,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,12,0,3,2023,4,4,Tuesday,19
Salesforce,0.12533576244469433,1,1,1,0,0,0,0,0,2,0.0,neutro,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8,0,6,2023,15,6,Thursday,19
