,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,faixa_propensao
127,- A tempo_aprovacao flag_autonomo dias_atraso C tempo_relacionamento D avg_vl_total_spending nr_declared_income,88,441,10279,207177,0.19954648526077098,0.049614580769100816,0.14993190449167015,0.14993190449167015,1. Grupo com propensão inf a 3%
55188,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet nr_trans_mov_conta nr_purchases_online,61,68,154814,207177,0.8970588235294118,0.747254762835643,0.14980406069376884,0.14980406069376884,0. Grupo com propensão inf a 1%
154,- A tempo_aprovacao C flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending,120,627,8638,207177,0.19138755980861244,0.041693817363896574,0.14969374244471587,0.14969374244471587,2. Grupo com propensão inf a 8%
29653,- D tempo_aprovacao A flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet nr_trans_mov_conta,113,126,154814,207177,0.8968253968253969,0.747254762835643,0.1495706339897539,0.1495706339897539,0. Grupo com propensão inf a 1%
4449,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,78,87,154814,207177,0.896551724137931,0.747254762835643,0.1492969613022881,0.1492969613022881,0. Grupo com propensão inf a 1%
4914,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet nr_trans_mov_conta,52,58,154814,207177,0.896551724137931,0.747254762835643,0.1492969613022881,0.1492969613022881,0. Grupo com propensão inf a 1%
722,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending,269,1416,8638,207177,0.1899717514124294,0.041693817363896574,0.14827793404853282,0.14827793404853282,2. Grupo com propensão inf a 8%
2274,- B tempo_aprovacao A flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,60,67,154814,207177,0.8955223880597015,0.747254762835643,0.14826762522405856,0.14826762522405856,0. Grupo com propensão inf a 1%
93,- B tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento,1744,1948,154814,207177,0.8952772073921971,0.747254762835643,0.1480224445565541,0.1480224445565541,0. Grupo com propensão inf a 1%
13781,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income C ganho_limite B flag_limite_insuficiente share_of_wallet,111,124,154814,207177,0.8951612903225806,0.747254762835643,0.14790652748693767,0.14790652748693767,0. Grupo com propensão inf a 1%
372,- A tempo_aprovacao C flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending D nr_declared_income,111,124,154814,207177,0.8951612903225806,0.747254762835643,0.14790652748693767,0.14790652748693767,0. Grupo com propensão inf a 1%
9810,- C tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,51,57,154814,207177,0.8947368421052632,0.747254762835643,0.1474820792696202,0.1474820792696202,0. Grupo com propensão inf a 1%
4212,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,136,152,154814,207177,0.8947368421052632,0.747254762835643,0.1474820792696202,0.1474820792696202,0. Grupo com propensão inf a 1%
1572,- D tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income,101,360,27590,207177,0.28055555555555556,0.1331711531685467,0.14738440238700887,0.14738440238700887,3. Grupo com propensão entre 8-14%
57,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento C avg_vl_total_spending nr_declared_income,204,1164,5856,207177,0.17525773195876287,0.02826568586281296,0.1469920460959499,0.1469920460959499,4. Grupo com propensão acima de 15%
972,- A tempo_aprovacao C flag_autonomo dias_atraso tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite,101,113,154814,207177,0.8938053097345132,0.747254762835643,0.14655054689887026,0.14655054689887026,0. Grupo com propensão inf a 1%
1579,- A tempo_aprovacao flag_autonomo dias_atraso C tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,345,386,154814,207177,0.8937823834196891,0.747254762835643,0.14652762058404611,0.14652762058404611,0. Grupo com propensão inf a 1%
13871,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,143,160,154814,207177,0.89375,0.747254762835643,0.14649523716435708,0.14649523716435708,0. Grupo com propensão inf a 1%
1556,- A tempo_aprovacao flag_autonomo dias_atraso C tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,67,75,154814,207177,0.8933333333333333,0.747254762835643,0.14607857049769035,0.14607857049769035,0. Grupo com propensão inf a 1%
787,- B tempo_aprovacao A flag_autonomo D dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income,67,75,154814,207177,0.8933333333333333,0.747254762835643,0.14607857049769035,0.14607857049769035,0. Grupo com propensão inf a 1%
65,- D tempo_aprovacao A flag_autonomo dias_atraso,2015,2256,154814,207177,0.8931737588652482,0.747254762835643,0.14591899602960523,0.14591899602960523,0. Grupo com propensão inf a 1%
2585,- C tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,192,215,154814,207177,0.8930232558139535,0.747254762835643,0.14576849297831052,0.14576849297831052,0. Grupo com propensão inf a 1%
9826,- C tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,75,84,154814,207177,0.8928571428571429,0.747254762835643,0.14560238002149994,0.14560238002149994,0. Grupo com propensão inf a 1%
36,- A tempo_aprovacao C flag_autonomo dias_atraso tempo_relacionamento,4240,4750,154814,207177,0.8926315789473684,0.747254762835643,0.14537681611172548,0.14537681611172548,0. Grupo com propensão inf a 1%
2472,- B tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,133,149,154814,207177,0.8926174496644296,0.747254762835643,0.1453626868287866,0.1453626868287866,0. Grupo com propensão inf a 1%
2388,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,83,444,8638,207177,0.18693693693693694,0.041693817363896574,0.14524311957304037,0.14524311957304037,2. Grupo com propensão inf a 8%
1331,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,64,230,27590,207177,0.2782608695652174,0.1331711531685467,0.1450897163966707,0.1450897163966707,3. Grupo com propensão entre 8-14%
2577,- C tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending B nr_declared_income ganho_limite,207,232,154814,207177,0.8922413793103449,0.747254762835643,0.1449866164747019,0.1449866164747019,0. Grupo com propensão inf a 1%
2239,- B tempo_aprovacao A flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,91,102,154814,207177,0.8921568627450981,0.747254762835643,0.14490209990945513,0.14490209990945513,0. Grupo com propensão inf a 1%
4636,- D tempo_aprovacao C flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,130,697,8638,207177,0.18651362984218078,0.041693817363896574,0.1448198124782842,0.1448198124782842,2. Grupo com propensão inf a 8%
3544,- C tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,82,440,8638,207177,0.18636363636363637,0.041693817363896574,0.1446698189997398,0.1446698189997398,2. Grupo com propensão inf a 8%
1447,- A tempo_aprovacao flag_autonomo dias_atraso C tempo_relacionamento avg_vl_total_spending nr_declared_income D ganho_limite B flag_limite_insuficiente share_of_wallet,115,129,154814,207177,0.8914728682170543,0.747254762835643,0.14421810538141133,0.14421810538141133,0. Grupo com propensão inf a 1%
1886,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,172,193,154814,207177,0.8911917098445595,0.747254762835643,0.14393694700891657,0.14393694700891657,0. Grupo com propensão inf a 1%
75,- D tempo_aprovacao C flag_autonomo dias_atraso,622,698,154814,207177,0.8911174785100286,0.747254762835643,0.1438627156743857,0.1438627156743857,0. Grupo com propensão inf a 1%
4978,- C tempo_aprovacao flag_autonomo A dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente,68,367,8638,207177,0.18528610354223432,0.041693817363896574,0.14359228617833775,0.14359228617833775,2. Grupo com propensão inf a 8%
4963,- C tempo_aprovacao flag_autonomo A dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,106,119,154814,207177,0.8907563025210085,0.747254762835643,0.1435015396853655,0.1435015396853655,0. Grupo com propensão inf a 1%
