,flag_mgm,flag_mgm
,mean,count
segmento_v1,,
BBBABCAB,0.013427675484441586,12437
BBBABCBA,0.07846076961519241,8004
BBBABCBB,0.08906385437734758,13844
BBBACAAA,0.016339869281045753,612
BBBACAAB,0.010933557611438183,1189
BBBACABA,0.06257378984651712,847
BBBACABB,0.07550886408404466,1523
BBBACBAA,0.021906453522794554,1689
BBBACBAB,0.01990049751243781,3015
BBBACBBA,0.09686147186147186,1848
BBBACBBB,0.0848822800495663,3228
BBBACCAA,0.004027617951668585,5214
BBBACCAB,0.004184845516872941,11231
BBBACCBA,0.035899481451934584,2507
BBBACCBB,0.05931796349663785,4164
BBBBAAAA,0.0782608695652174,115
BBBBAAAB,0.06091370558375635,197
BBBBAABA,0.17066666666666666,375
BBBBAABB,0.17823639774859287,533
BBBBABAA,0.13620071684587814,279
BBBBABAB,0.14149139579349904,523
BBBBABBA,0.17951541850220265,908
BBBBABBB,0.17992565055762083,1345
BBBBACAA,0.03418803418803419,234
BBBBACAB,0.04071246819338423,393
BBBBACBA,0.17094017094017094,351
BBBBACBB,0.14962962962962964,675
BBBBBAAA,0.0853462157809984,621
BBBBBAAB,0.06833333333333333,1200
BBBBBABA,0.15283342873497424,1747
BBBBBABB,0.1638283378746594,2936
BBBBBBAA,0.10037174721189591,1883
BBBBBBAB,0.1135487696412689,3373
BBBBBBBA,0.17930732135028496,4562
BBBBBBBB,0.19313593539703902,7430
BBBBBCAA,0.023360964581763375,2654
BBBBBCAB,0.022188792779240317,5318
BBBBBCBA,0.14032786885245901,3050
BBBBBCBB,0.15278487480838018,5871
BBBBCAAA,0.03248259860788863,862
BBBBCAAB,0.054164239953407106,1717
BBBBCABA,0.13106382978723405,1175
BBBBCABB,0.11790203727785002,2307
BBBBCBAA,0.038700760193503804,2894
BBBBCBAB,0.04751745539177657,5156
BBBBCBBA,0.15541031227305738,2754
BBBBCBBB,0.15118360851402426,5027
BBBBCCAA,0.007140241669718052,5462
BBBBCCAB,0.008394642520279192,10602
BBBBCCBA,0.08933582787652011,2138
BBBBCCBB,0.09782330345710627,3905
CAAAAAAA,0.0,4581
CAAAAAAB,0.0003511112671605632,28481
CAAAAABA,0.0,92
CAAAAABB,0.001949317738791423,513
CAAAABAA,0.0,297
CAAAABAB,0.00038819875776397513,2576
CAAAABBA,0.0,7
CAAAABBB,0.0,43
CAAAACAA,0.0,319
CAAAACAB,0.001287001287001287,2331
CAAAACBA,0.0,2
CAAAACBB,0.0,47
CAAABAAA,0.0019455252918287938,2570
CAAABAAB,0.0011313380643834206,9723
CAAABABA,0.0,31
CAAABABB,0.0,160
CAAABBAA,0.0030581039755351682,327
CAAABBAB,0.0026939655172413795,1856
CAAABBBA,0.0,8
CAAABBBB,0.0,24
CAAABCAA,0.003389830508474576,295
CAAABCAB,0.0028058361391694723,1782
CAAABCBA,0.0,1
CAAABCBB,0.0,15
CAAACAAA,0.0,680
CAAACAAB,0.0003795066413662239,2635
CAAACABA,0.0,7
CAAACABB,0.0,85
CAAACBAA,0.0,89
CAAACBAB,0.002036659877800407,491
CAAACBBA,0.0,6
CAAACBBB,0.0,23
CAAACCAA,0.0,115
CAAACCAB,0.0,633
CAAACCBA,0.0,1
CAAACCBB,0.0,14
CAABAAAA,0.1111111111111111,9
CAABAAAB,0.013513513513513514,74
CAABAABB,0.09090909090909091,11
CAABABAB,0.16666666666666666,6
CAABABBB,0.0,2
CAABACAA,0.0,2
CAABACAB,0.0,8
CAABACBB,0.0,6
CAABBAAA,0.0625,32
CAABBAAB,0.007575757575757576,132
CAABBABA,0.0,1
CAABBABB,0.0,4
CAABBBAA,0.0,13
CAABBBAB,0.06451612903225806,31
CAABBCAA,0.0,7
CAABBCAB,0.02,50
CAABBCBB,0.0,2
CAABCAAA,0.0,15
CAABCAAB,0.0,58
CAABCABB,0.0,3
CAABCBAA,0.0,1
CAABCBAB,0.0,21
CAABCBBB,0.0,2
CAABCCAA,0.0,6
CAABCCAB,0.0,18
CAABCCBB,0.0,1
CABAAAAA,0.0030581039755351682,327
CABAAAAB,0.007994670219853431,1501
CABAAABA,0.25,4
CABAAABB,0.0,21
CABAABAA,0.03636363636363636,55
CABAABAB,0.014925373134328358,268
CABAABBA,0.0,1
CABAABBB,0.0,18
CABAACAA,0.023809523809523808,84
CABAACAB,0.02702702702702703,370
CABAACBA,0.0,7
CABAACBB,0.043478260869565216,46
CABABAAA,0.0034976152623211448,3145
CABABAAB,0.0020622955482861613,14062
CABABABA,0.0,12
CABABABB,0.0,47
CABABBAA,0.0,799
CABABBAB,0.0021791767554479417,4130
CABABBBA,0.0,1
CABABBBB,0.0,13
CABABCAA,0.0012755102040816326,1568
CABABCAB,0.0034941540115575862,7441
CABABCBA,0.0,1
CABABCBB,0.0,8
CABACAAA,0.0005938242280285036,3368
CABACAAB,0.0014827995255041518,13488
CABACABA,0.0,9
CABACABB,0.0,56
CABACBAA,0.0015723270440251573,636
CABACBAB,0.0008312551953449709,3609
CABACBBA,0.0,5
CABACBBB,0.0,10
CABACCAA,0.0,1350
CABACCAB,0.0015961691939345571,7518
CABACCBB,0.0,10
CABBAAAA,0.047619047619047616,21
CABBAAAB,0.0797872340425532,188
CABBAABA,0.0,2
CABBAABB,0.0,3
CABBABAA,0.1111111111111111,9
CABBABAB,0.04081632653061224,49
CABBABBA,0.0,1
CABBABBB,0.0,3
CABBACAA,0.0,11
CABBACAB,0.07407407407407407,54
CABBACBA,0.0,3
CABBACBB,0.1,20
CABBBAAA,0.005893909626719057,509
CABBBAAB,0.006631299734748011,2262
CABBBABA,0.0,2
CABBBABB,0.0,24
CABBBBAA,0.0,195
CABBBBAB,0.004469273743016759,895
CABBBBBA,0.0,1
CABBBBBB,0.25,4
CABBBCAA,0.005813953488372093,344
CABBBCAB,0.005945303210463734,1682
CABBBCBB,0.0,3
CABBCAAA,0.004201680672268907,714
