dt_mes,hierarquia_1,hierarquia_4,clientes_cx,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,montante_ltv,media_ltv,mediana_ltv,clientes_rentaveis_total,perc_recorte,perc_churn_recorte,perc_recuperacao_churn
2023-04-01,Cartão,Bloqueio de senha,2957,170576.58991211877,335342.8691727664,39.86631016042781,981.0,125.0,106.0,4843236083.64127,2922.859158997037,432.7856566411712,1656724,0.33175515725397364,0.127420998980632,0.848
2023-05-01,Cartão,Primeiro Desbloqueio de cartão,1862,35347.064423563905,37208.75630736573,39.726235741444874,240.0,23.0,20.0,4664797100.404755,2641.652891761566,434.1831725787848,1765592,0.1288936627282492,0.09583333333333334,0.8695652173913043
2023-03-01,Tecnologia,Rastreio de cartão,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586123,0.0,0.0,0.0
2023-02-01,Cartão,Problema no recebimento do cartão,2287,6721.362625443454,820.6024259086861,36.951676859274144,229.0,18.0,16.0,3190326053.1297154,2137.6836130328525,373.4876992294312,1492153,0.10013117621337997,0.07860262008733625,0.8888888888888888
2023-04-01,Tecnologia,Erro acessar app,1920,51275.79776837015,45679.57755603587,35.487378640776704,518.0,47.0,36.0,4311253087.010193,2601.8111350558192,385.24830629466027,1656724,0.26979166666666665,0.09073359073359073,0.7659574468085106
2023-01-01,Tecnologia,Validação novo dispositivo,281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-01-01,Conta,Compensação fatura,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-06-01,Conta,Gestão de Extrato,1225,26745.320969868622,114610.82482009086,33.71735626007523,337.0,36.0,33.0,4608412549.041503,2490.312292785173,345.14345370817324,1850274,0.27510204081632655,0.10682492581602374,0.9166666666666666
2023-01-01,Conta,Uso do cartão de débito,292,16333.026735545462,8604.418817923823,36.79183321025152,71.0,7.0,6.0,3230612753.9158087,2230.477703883132,375.3127844058831,1448099,0.24315068493150685,0.09859154929577464,0.8571428571428571
2023-05-01,Fraude,Token 3DS,90,2500.0,212.9242718446602,35.487378640776704,15.0,1.0,1.0,4167055294.68924,2359.7840232731755,387.8550876312308,1765592,0.16666666666666666,0.06666666666666667,1.0
2023-04-01,Fraude,Vencimento fatura,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-04-01,Tecnologia,Problema no recebimento do cartão,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-06-01,Tecnologia,Informações sobre fatura,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-05-01,Marketing,Recebimento de PIX,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-02-01,Conta,Rastreio de cartão,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
