dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-04-01,Tecnologia,Lançamentos duplicados,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Resultado análise de fraude,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Parcelamento de compra,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Riscos 2 nivel,Resultado da Proposta,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Gerar fatura,1,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Recebimento de TED,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Tecnologia,Falsidade ideológica,2,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Recebimento de TED,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Cartão,Token E-mail,1731,230,32,27,R$ 29.837,R$ 237.985,"36,8"
2023-05-01,Tecnologia,Uso do cartão de débito,39,3,2,2,R$ 560,R$ 1.606,"27,8"
2023-05-01,Cartão,Faturas futuras,915,192,24,16,R$ 20.760,R$ 32.287,"33,4"
2023-06-01,Cartão,Informações sobre fatura,4803,985,178,145,R$ 255.040,R$ 1.071.432,"36,8"
2023-05-01,Cartão,Rastreio de cartão,5863,519,59,53,R$ 60.457,R$ 18.174,"36,8"
2023-02-01,Fraude,Alteração de senha,1723,497,66,56,R$ 62.648,R$ 30.219,"35,9"
2023-05-01,Tecnologia,Problemas com a compra,169,10,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Boleto de Depósito,269,218,160,4,R$ 1.800,R$ 1.347,"34,0"
2023-03-01,Fraude,Token 3DS,95,23,5,5,R$ 4.253,R$ 3.496,"31,2"
2023-02-01,Conta,Gerar fatura,116,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Recebimento de PIX,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Devolução,2,0,0,0,R$ 0,R$ 0,"0,0"
